"Numéro de mesure";"Longitude";"Latitude";"Position";"Insee";"Adresse";"Complément";"Code postal";"Commune";"Date de mesure";"Mesure réalisée";"Rapport";"Conformité de la mesure";"Niveau global";"Type d'environnement";"laboratoire";"DECT (Téléphone domestique)";"Radiodiffusion sonore (FM – RNT)";"Services HF";"PMR (Réseaux radio mobile professionnels)";"PMR - balises";"Radars - balises - FH";"Radar - BLR (Wimax)- FH";"TV";"Réseaux locaux radioélectriques ou Wifi";"TM 700 (Téléphonie Mobile en 700 MHz)_mesuré";"TM 700 (Téléphonie Mobile en 700 MHz)_extrapolé";"TM 800_mesuré";"TM 800_extrapolé";"TM 900_mesuré";"TM 900_extrapolé";"TM 1800_mesuré";"TM 1800_extrapolé";"TM 2100_mesuré";"TM 2100_extrapolé";"TM 2600_mesuré";"TM 2600_extrapolé";"TM 3600_mesuré";"TM 3600_extrapolé";"Cumul_CasB";"Cumul_CasB_TM";"Ratio_Ecart_CasA_CasB_%";"CV_services_CasB"
"90";"0,193611";"44,525";"44°31'30.000N 0°11'37.000E";"47157";"La Magdeleine - Impasse de la Garenne";"SUR LA VOIE PUBLIQUEDEVANT L'ENTREE DE LA PROPRIETE DE MR OU MME TESSIER";"47200";"MARMANDE";"04/05/2001";"En extérieur";"FicheMesure90.pdf";"Oui";"3,23";"Rue / Route / Parking";"SR Toulouse";"";"3,14";"0,06";"";"0,7";"";"";"";"";"";"";"";"";"";"0,09";"";"";"";"";"";"";"";"";"3,218897";"0,09";"0,344";"1,266225"
"93";"-0,507222";"44,820556";"44°49'14.002N 0°30'25.999W";"33065";"Gendarmerie Nationale- Quartier Beteille";"BATIMENT 6 - 3EME ETAGE - APPARTEMENT 80DOMICILE DE MR ET MME DOUABLINSUR LE BALCON FACE AU PYLONE TDF";"33270";"BOULIAC";"03/05/2001";"En intérieur";"FicheMesure93.pdf";"Oui";"3,03";"Lieu d'habitation";"SR Toulouse";"";"1,71";"0,06";"0,33";"";"";"";"0,29";"";"";"";"";"";"";"0,16";"";"0,16";"";"";"";"";"";"";"1,780983";"0,226274";"41,222";"1,261502"
"99";"0,635556";"44,216667";"44°13'0.001N 0°38'8.002E";"47001";"Centre hospitalier route de Villeneuve";"TERRASSE DU BATIMENT PRINCIPAL DU CENTRE HOSPITALIERCOTE SUD-EST A 8 METRES DU PIED DU PYLONE";"47923";"AGEN";"31/07/2001";"En extérieur";"FicheMesure99.pdf";"Oui";"0,57";"Divers";"SR Toulouse";"";"0,24";"";"";"0,2";"";"";"";"";"";"";"";"";"";"0,5";"";"";"";"";"";"";"";"";"0,589576";"0,5";"-3,434";"0,424467"
"100";"-0,490556";"44,823056";"44°49'23.002N 0°29'26.002W";"33065";"Allée des pelouses d'ascot";"DOMICILE DE MR YANNICK VIARDDANS LE JARDIN EN BORDURE DE CLOTURE";"33270";"BOULIAC";"03/05/2001";"En extérieur";"FicheMesure100.pdf";"Oui";"0,59";"Rue / Route / Parking";"SR Toulouse";"";"0,22";"0,6";"";"";"";"";"0,17";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,661287";"";"-12,082";"0,581839"
"101";"-0,503333";"44,818889";"44°49'8.000N 0°30'11.999W";"33065";"Carrefour de l'avenue du domaine de la Vialle";"PARKING DU GROUPE SCOLAIRE DE BOULIACA 60 METRES DE L'ENTREE DE L'ECOLE";"33270";"BOULIAC";"03/05/2001";"En extérieur";"FicheMesure101.pdf";"Oui";"2,32";"Rue / Route / Parking";"SR Toulouse";"";"0,99";"0,49";"0,06";"";"";"";"1,46";"";"";"";"";"";"";"0,39";"";"0,1";"";"";"";"";"";"";"1,8755";"0,402616";"19,159";"0,856005"
"103";"-0,789444";"44,0025";"44°0'9.000N 0°47'21.998W";"40006";"Rue Jean Duclos";"A 2 METRES DE L'ANGLE DU GYMNASECÔTE FRONTON ET COURT DE TENNIS";"40110";"ARENGOSSE";"10/05/2001";"En extérieur";"FicheMesure103.pdf";"Oui";"0";"Rue / Route / Parking";"SR Toulouse";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,09";"";"";"";"";"";"";"";"";"0,09";"0,09";"";"0"
"104";"-0,625556";"44,904722";"44°54'16.999N 0°37'32.002W";"33056";"Rue du Maréchal de Lattre de Tasigny";"SUR LA TERRASSE DE L'IMMEUBLE A PROXIMITE IMMEDIATE DES ANTENNES DES STATIONS DE BASE SFR ET BYTAU DOMICILE DE MR ANDRE JOIGNEAUX - 9EME ETAGE - APPT 917 - BATIMENT E";"33290";"BLANQUEFORT";"01/08/2001";"En intérieur";"FicheMesure104.pdf";"Oui";"4,14";"Lieu d'habitation";"SR Toulouse";"";"0,24";"0,07";"";"";"";"";"";"";"";"";"";"";"";"3,08";"";"1,57";"";"";"";"";"";"";"3,466093";"3,457065";"16,278";"0,976389"
"105";"-0,573889";"44,843611";"44°50'37.000N 0°34'26.000W";"33063";"Rue de Condé";"BURO CLUB BORDEAUX6EME ETAGEA COTE DE LA FENETRE DU BUREAU N° 68 - ESSO - MR JEAN-MICHEL FAUCHER";"33000";"BORDEAUX";"02/05/2001";"En intérieur";"FicheMesure105.pdf";"Oui";"0,92";"Lieu d'habitation";"SR Toulouse";"";"";"";"";"";"";"";"0,09";"";"";"";"";"";"";"1,86";"";"";"";"";"";"";"";"";"1,862176";"1,86";"-102,41";"0,907692"
"106";"-0,886667";"44,966944";"44°58'0.998N 0°53'12.001W";"33417";"Stade municipal";"SUR LE PARKINGA COTE DES COURTS DE TENNISDEVANT LES VESTIAIRES DU STADE";"33480";"SAINTE HELENE";"09/05/2001";"En extérieur";"FicheMesure106.pdf";"Oui";"0";"Rue / Route / Parking";"SR Toulouse";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,13";"";"";"";"";"";"";"0,13";"0,13";"";"0"
"197";"-0,547778";"44,808611";"44°48'31.000N 0°32'52.001W";"33039";"Rue Duhourquet";"Terrasse de l'immeuble";"33130";"BEGLES";"22/01/2002";"En extérieur";"FicheMesure197.pdf";"Oui";"1,75";"Divers";"APAVE";"";"0,43";"";"";"";"";"";"0,58";"";"";"";"";"";"";"1,35";"";"2,65";"";"";"";"";"";"";"3,060441";"2,974054";"-74,882";"0,701877"
