"Numéro de mesure";"Longitude";"Latitude";"Position";"Insee";"Adresse";"Complément";"Code postal";"Commune";"Date de mesure";"Mesure réalisée";"Rapport";"Conformité de la mesure";"Niveau global";"Type d'environnement";"laboratoire";"DECT (Téléphone domestique)";"Radiodiffusion sonore (FM – RNT)";"Services HF";"PMR (Réseaux radio mobile professionnels)";"PMR - balises";"Radars - balises - FH";"Radar - BLR (Wimax)- FH";"TV";"Réseaux locaux radioélectriques ou Wifi";"TM 700 (Téléphonie Mobile en 700 MHz)_mesuré";"TM 700 (Téléphonie Mobile en 700 MHz)_extrapolé";"TM 800_mesuré";"TM 800_extrapolé";"TM 900_mesuré";"TM 900_extrapolé";"TM 1800_mesuré";"TM 1800_extrapolé";"TM 2100_mesuré";"TM 2100_extrapolé";"TM 2600_mesuré";"TM 2600_extrapolé";"TM 3600_mesuré";"TM 3600_extrapolé";"Cumul_CasB";"Cumul_CasB_TM";"Ratio_Ecart_CasA_CasB_%";"CV_services_CasB"
"32";"3,053056";"50,639722";"50°38'22.999N 3°3'11.002E";"59350";"Place de l'Esplanade";"entree du parking";"59000";"LILLE";"11/10/2001";"En extérieur";"FicheMesure32.pdf";"Oui";"0,29";"Rue / Route / Parking";"SR Villejuif";"";"";"0,13";"";"";"";"";"";"";"";"";"";"";"";"0,78";"";"";"";"";"";"";"";"";"0,790759";"0,78";"-172,676";"0,714286"
"33";"3,0425";"50,634722";"50°38'4.999N 3°2'33.000E";"59350";"Rue de l'architecte Cordonnier";"Face a l'escalier n°20";"59000";"LILLE";"11/10/2001";"En extérieur";"FicheMesure33.pdf";"Oui";"0,38";"Rue / Route / Parking";"SR Villejuif";"";"";"0,42";"";"";"";"";"";"";"";"";"";"";"";"0,63";"";"0,28";"";"";"";"";"";"";"0,807279";"0,68942";"-112,442";"0,324443"
"34";"2,291111";"50,655833";"50°39'20.999N 2°17'28.000E";"62288";"Chemin du Château d'eau";"";"62129";"ECQUES";"17/10/2001";"En extérieur";"FicheMesure34.pdf";"Oui";"0";"Divers";"SR Villejuif";"";"";"0,14";"";"";"";"";"";"";"";"";"";"";"";"0,15";"";"";"";"";"";"";"";"";"0,205183";"0,15";"";"0,034483"
"35";"3,094167";"50,656944";"50°39'24.998N 3°5'39.001E";"59378";"Allée Gabriel";"Devant l'entrée du collège Rouges Barres.";"59700";"MARCQ EN BAROEUL";"29/03/2001";"En extérieur";"FicheMesure35.pdf";"Oui";"0,09";"Rue / Route / Parking";"SR Villejuif";"";"0,19";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,19";"";"-111,111";"0"
"36";"3,071111";"50,631944";"50°37'54.998N 3°4'16.000E";"59350";"Rue Saint Sauver";"";"59800";"LILLE";"30/03/2001";"En extérieur";"FicheMesure36.pdf";"Oui";"0,51";"Rue / Route / Parking";"SR Villejuif";"";"";"0,19";"";"0,12";"";"";"";"";"";"";"";"";"";"0,1";"";"";"";"";"";"";"";"";"0,245967";"0,1";"51,771";"0,282337"
"184";"3,191667";"50,690833";"50°41'26.999N 3°11'30.001E";"59512";"Boulevard Beaurepaire";"Bâtiment de la société DALKIA (accès côté canal).";"59100";"ROUBAIX";"02/10/2001";"En intérieur";"FicheMesure184.pdf";"Oui";"0";"Lieu d'habitation";"SOCOTEC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,46";"";"";"";"";"";"";"";"";"0,46";"0,46";"";"0"
"186";"3,095833";"50,653611";"50°39'13.000N 3°5'44.999E";"59378";"Avenue de l'Europe";"Habitation parallèle aux lignes de chemin de fer et au chemin Latéral.";"59700";"MARCQ EN BAROEUL";"23/11/2001";"En intérieur";"FicheMesure186.pdf";"Oui";"0";"Lieu d'habitation";"SOCOTEC";"";"0,21";"";"";"0,09";"";"";"";"";"";"";"";"";"";"0,43";"";"0,16";"";"";"";"";"";"";"0,512543";"0,458803";"";"0,571489"
"187";"2,935556";"50,528889";"50°31'44.000N 2°56'8.002E";"59011";"Impasse parallèle à la rue Roger Salengro";"Extrémité de la ZA la Fontinelle, face au terrain de footballMesure réalisée en limite de propriété à l'arrière des habitations dont la façade communique avec la rue R. SALENGRO. face au terrain de football.";"59112";"ANNOEULLIN";"20/11/2001";"En extérieur";"FicheMesure187.pdf";"Oui";"0";"Divers";"SOCOTEC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1,67";"";"0,2";"";"";"";"";"";"";"1,681933";"1,681933";"";"0,786096"
"188";"2,940556";"50,529167";"50°31'45.001N 2°56'26.002E";"59011";"ZA La Fontaine";"Implantation du point de mesure à l'angle de l'accès de parking de la société ALNOR.";"59112";"ANNOEULLIN";"20/11/2001";"En extérieur";"FicheMesure188.pdf";"Oui";"1,41";"Rue / Route / Parking";"SOCOTEC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,93";"";"0,14";"";"";"";"";"";"";"0,940479";"0,940479";"33,299";"0,738318"
"189";"2,633889";"50,408056";"50°24'29.002N 2°38'2.000E";"62793";"Château d'eau";"";"62530";"SERVINS";"21/12/2001";"En intérieur";"FicheMesure189.pdf";"Oui";"0";"Lieu d'habitation";"SOCOTEC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1,14";"";"";"";"";"";"";"";"";"1,14";"1,14";"";"0"
