"Numéro de mesure";"Longitude";"Latitude";"Position";"Insee";"Adresse";"Complément";"Code postal";"Commune";"Date de mesure";"Mesure réalisée";"Rapport";"Conformité de la mesure";"Niveau global";"Type d'environnement";"laboratoire";"DECT (Téléphone domestique)";"Radiodiffusion sonore (FM – RNT)";"Services HF";"PMR (Réseaux radio mobile professionnels)";"PMR - balises";"Radars - balises - FH";"Radar - BLR (Wimax)- FH";"TV";"Réseaux locaux radioélectriques ou Wifi";"TM 700 (Téléphonie Mobile en 700 MHz)_mesuré";"TM 700 (Téléphonie Mobile en 700 MHz)_extrapolé";"TM 800_mesuré";"TM 800_extrapolé";"TM 900_mesuré";"TM 900_extrapolé";"TM 1800_mesuré";"TM 1800_extrapolé";"TM 2100_mesuré";"TM 2100_extrapolé";"TM 2600_mesuré";"TM 2600_extrapolé";"TM 3600_mesuré";"TM 3600_extrapolé";"Cumul_CasB";"Cumul_CasB_TM";"Ratio_Ecart_CasA_CasB_%"
"59";"4,662778";"45,820556";"45°49'14.002N 4°39'46.001E";"69112";"Place de l'Eglise";"";"69120";"LENTILLY";"25/06/2001";"En extérieur";"FicheMesure59.pdf";"Oui";"0";"Rue / Route / Parking";"ANFR SR Lyon";"";"";"0,17";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,08";"";"";"";"";"";"";"0,17";"";""
"61";"4,6225";"45,389167";"45°23'21.001N 4°37'21.000E";"42326";"Auberge du Mont Pilat- Col de l'Oeillon";"";"42520";"VERANNE";"04/07/2001";"En extérieur";"FicheMesure61.pdf";"Oui";"1,61";"Rue / Route / Parking";"ANFR SR Lyon";"";"1,08";"";"";"";"";"";"1,31";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1,697793";"";"-5,453"
"63";"4,396389";"45,398056";"45°23'53.002N 4°23'47.000E";"42172";"Croix du Guizay";"";"42660";"PLANFOY";"25/06/2001";"En extérieur";"FicheMesure63.pdf";"Oui";"5,56";"Rue / Route / Parking";"ANFR SR Lyon";"";"2,83";"";"";"0,3";"";"";"0,47";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2,884406";"";"48,122"
"65";"4,612778";"45,526389";"45°31'35.000N 4°36'46.001E";"42186";"Rue Pétrus Richarme";"";"42800";"RIVE DE GIER";"09/07/2001";"En extérieur";"FicheMesure65.pdf";"Oui";"0";"Rue / Route / Parking";"ANFR SR Lyon";"";"";"";"";"0,07";"";"";"";"";"";"";"";"";"";"0,3";"";"";"";"";"";"";"";"";"0,07";"";""
"66";"4,613889";"45,527222";"45°31'37.999N 4°36'50.000E";"42186";"Rue Pétrus Richarme";"";"42800";"RIVE DE GIER";"09/07/2001";"En extérieur";"FicheMesure66.pdf";"Oui";"0,58";"Rue / Route / Parking";"ANFR SR Lyon";"";"";"";"";"0,11";"";"";"";"";"";"";"";"";"";"0,69";"";"";"";"";"";"";"";"";"0,11";"";"81,034"
"69";"4,478611";"46,63";"46°37'48.000N 4°28'43.000E";"71320";"Maison de retraite Emmanuel Bardot";"";"71300";"MONT SAINT VINCENT";"26/06/2001";"En extérieur";"FicheMesure69.pdf";"Oui";"4,09";"Divers";"ANFR SR Lyon";"";"0,23";"";"4,59";"";"";"";"0,12";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4,597325";"";"-12,404"
"135";"0,426944";"46,621111";"46°37'16.000N 0°25'36.998E";"86163";"Rue du Clos";"Ecole maternelle";"86360";"MONTAMISE";"01/08/2001";"En extérieur";"FicheMesure135.pdf";"Oui";"0,4";"Rue / Route / Parking";"SR Donges";"";"";"0,1";"";"";"";"";"";"";"";"";"";"";"";"0,08";"";"0,34";"";"";"";"";"";"";"0,1";"";"75"
"181";"3,318333";"46,561111";"46°33'40.000N 3°19'5.999E";"03190";"Avenue de la Libération";"Le bernage";"03000";"MOULINS";"20/12/2001";"En extérieur";"FicheMesure181.pdf";"Oui";"0,9";"Divers";"APAVE";"";"0,11";"0,1";"";"";"";"";"";"";"";"";"";"";"";"1,27";"";"0,09";"";"";"";"";"";"";"0,148661";"";"83,482"
"182";"3,331111";"46,575833";"46°34'32.999N 3°19'52.000E";"03190";"Avenue du Général de Gaulle";"Les Gâteaux Batiment A1";"03000";"MOULINS";"20/12/2001";"En extérieur";"FicheMesure182.pdf";"Oui";"6,1";"Divers";"APAVE";"";"0,06";"0,07";"";"";"";"";"";"";"";"";"";"";"";"0,25";"";"6,51";"";"";"";"";"";"";"0,092195";"";"98,489"
"183";"3,337778";"46,542778";"46°32'34.001N 3°20'16.001E";"03190";"Avenue Professeur Etienne Sorel";"Foyer des Jeunes Travailleur plus";"03000";"MOULINS";"19/12/2001";"En extérieur";"FicheMesure183.pdf";"Oui";"2,8";"Divers";"APAVE";"";"0,08";"0,08";"";"";"";"";"0,07";"";"";"";"";"";"";"1,41";"";"3,35";"";"";"";"";"";"";"0,133041";"";"95,249"
"221";"3,333889";"46,573333";"46°34'23.999N 3°20'2.000E";"03190";"Route de Decize";"Les Chartreux batiment G";"03000";"MOULINS";"19/12/2001";"En extérieur";"FicheMesure221.pdf";"Oui";"0,56";"Divers";"APAVE";"";"0,09";"0,08";"";"";"";"";"";"";"";"";"";"";"";"0,33";"";"0,22";"";"";"";"";"";"";"0,120416";"";"78,497"
"335";"4,6175";"45,837222";"45°50'13.999N 4°37'3.000E";"69010";"Rue Anne Frank";"Point A : terrasse de l'immeuble du 265 rue Anne Frank";"69210";"ARBRESLE";"26/11/2001";"En extérieur";"FicheMesure335.pdf";"Oui";"1,3";"Divers";"BUREAU VERITAS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,15";"";"";"";"";"";"";"";"";"";"";""
"376";"3,195";"45,7725";"45°46'21.000N 3°11'42.000E";"63193";"Rue du 8 mai";"palier du 4 eme étage : point A";"63370";"LEMPDES";"07/03/2002";"En intérieur";"FicheMesure376.pdf";"Oui";"0,22";"Lieu d'habitation";"APAVE";"";"";"0,13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,13";"";"40,909"
"377";"3,176111";"45,762778";"45°45'46.001N 3°10'34.000E";"63193";"Rue du 8 mai";"dans la rue, en face de l'entrée N° 33 à 40 : point B";"63370";"LEMPDES";"07/03/2002";"En extérieur";"FicheMesure377.pdf";"Oui";"0,23";"Rue / Route / Parking";"APAVE";"";"";"0,1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,1";"";"56,522"
"378";"3,195556";"45,771944";"45°46'18.998N 3°11'44.002E";"63193";"Rue du 8 mai";"jardin, derriere le bâtiment A : point C";"63370";"LEMPDES";"07/03/2002";"En extérieur";"FicheMesure378.pdf";"Oui";"0,43";"Divers";"APAVE";"";"";"0,14";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,38";"";"";"";"";"";"";"0,14";"";"67,442"
"419";"0,160278";"45,65";"45°39'0.000N 0°9'37.001E";"16015";"Boulevard Pasteur";"Les mesures ont été effectuées dans la chambre de M LEMOINE, au 4° étage dans l'appartement N° 10 du 23 Boulevard PASTEUR, 16000 ANGOULEME.";"16000";"ANGOULEME";"07/11/2001";"En intérieur";"FicheMesure419.pdf";"Oui";"0,4";"Lieu d'habitation";"BUREAU VERITAS";"";"0,21";"";"";"";"";"";"";"";"";"";"";"";"";"0,19";"";"0,07";"";"";"";"";"";"";"0,21";"";"47,5"
"493";"0,996111";"45,598333";"45°35'53.999N 0°59'46.000E";"24486";"Montcigoux";"Salle de séjour face à la fenêtre";"24450";"SAINT PIERRE DE FRUGIE";"14/03/2002";"En intérieur";"FicheMesure493.pdf";"Oui";"0";"Lieu d'habitation";"APAVE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,09";"";"";"";"";"";"";"";"";"";"";""
