"Numéro de mesure";"Longitude";"Latitude";"Position";"Insee";"Adresse";"Complément";"Code postal";"Commune";"Date de mesure";"Mesure réalisée";"Rapport";"Conformité de la mesure";"Niveau global";"Type d'environnement";"laboratoire";"DECT (Téléphone domestique)";"Radiodiffusion sonore (FM – RNT)";"Services HF";"PMR (Réseaux radio mobile professionnels)";"PMR - balises";"Radars - balises - FH";"Radar - BLR (Wimax)- FH";"TV";"Réseaux locaux radioélectriques ou Wifi";"TM 700 (Téléphonie Mobile en 700 MHz)_mesuré";"TM 700 (Téléphonie Mobile en 700 MHz)_extrapolé";"TM 800_mesuré";"TM 800_extrapolé";"TM 900_mesuré";"TM 900_extrapolé";"TM 1800_mesuré";"TM 1800_extrapolé";"TM 2100_mesuré";"TM 2100_extrapolé";"TM 2600_mesuré";"TM 2600_extrapolé";"TM 3600_mesuré";"TM 3600_extrapolé";"Cumul_CasB";"Cumul_CasB_TM";"Ratio_Ecart_CasA_CasB_%"
"70";"5,348333";"43,362778";"43°21'46.001N 5°20'53.999E";"13215";"Centre Commercial Grand Littoral";"Hall de la galerie marchande niveau supérieur, à proximité du magasin ZARA";"13015";"MARSEILLE 15E ARRONDISSEMENT";"16/05/2001";"En intérieur";"FicheMesure70.pdf";"Oui";"3,23";"Commerce (Centre commercial, …";"SR Aix-Marseille";"";"";"1,58";"";"";"";"";"";"";"";"";"";"";"";"3,15";"";"";"";"";"";"";"";"";"1,58";"";"51,084"
"71";"5,432222";"43,514722";"43°30'52.999N 5°25'55.999E";"13001";"Avenue du club hippique";"Mesures effectuées sur le parking en face de l'immeuble CEGETEL";"13100";"AIX EN PROVENCE";"17/05/2001";"En extérieur";"FicheMesure71.pdf";"Oui";"0,76";"Rue / Route / Parking";"SR Aix-Marseille";"";"";"0,23";"";"";"";"";"";"";"";"";"";"";"";"0,66";"";"";"";"";"";"";"";"";"0,23";"";"69,737"
"72";"5,441944";"43,514167";"43°30'51.001N 5°26'30.998E";"13001";"Rue Pierre Brossolette";"ANGLE RUE HENRI FABRE ET AVE MIREILLE FACE ANPE";"13100";"AIX EN PROVENCE";"16/05/2001";"En extérieur";"FicheMesure72.pdf";"Oui";"0,32";"Rue / Route / Parking";"SR Aix-Marseille";"";"";"0,14";"";"";"";"";"";"";"";"";"";"";"";"0,56";"";"";"";"";"";"";"";"";"0,14";"";"56,25"
"73";"7,103056";"43,584722";"43°35'4.999N 7°6'11.002E";"06004";"Chemin de St Jean - Plateau fleuri";"PARKING DE L'ECOLE ROGER CORDI";"06600";"ANTIBES";"07/06/2001";"En extérieur";"FicheMesure73.pdf";"Oui";"12,8";"Rue / Route / Parking";"SR Aix-Marseille";"";"";"18,79";"";"";"";"";"";"";"";"";"";"";"";"1,55";"";"";"";"";"";"";"";"";"18,79";"";"-46,797"
"74";"7,299722";"43,700833";"43°42'2.999N 7°17'58.999E";"06088";"Parc du mont dAlban";"Lieu de mesure situé devant le Château , lieu de promenade très fréquenté.";"06000";"NICE";"07/06/2001";"En extérieur";"FicheMesure74.pdf";"Oui";"2,62";"Divers";"SR Aix-Marseille";"";"0,23";"0,18";"";"0,27";"";"";"0,41";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,571";"";"78,197"
"75";"5,353333";"43,278889";"43°16'44.000N 5°21'11.999E";"13207";"Corniche Kennedy";"à Marseille sur le parking du Marégraphe face aux Iles du Frioul.";"13007";"MARSEILLE 7E ARRONDISSEMENT";"17/05/2001";"En extérieur";"FicheMesure75.pdf";"Oui";"0";"Rue / Route / Parking";"SR Aix-Marseille";"";"0,09";"";"";"";"";"";"0,22";"";"";"";"";"";"";"0,34";"";"";"";"";"";"";"";"";"0,238";"";""
"76";"5,419722";"43,386111";"43°23'10.000N 5°25'10.999E";"13106";"Massif de l'Etoile";"MESURES EFFECTUEES AUX 3 CHEMINS à 1000 M du site TDF";"13240";"SEPTEMES LES VALLONS";"15/05/2001";"En extérieur";"FicheMesure76.pdf";"Oui";"2,69";"Divers";"SR Aix-Marseille";"";"2,08";"";"";"0,08";"";"";"1,53";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2,583";"";"3,965"
"77";"5,370278";"43,284722";"43°17'4.999N 5°22'13.001E";"13206";"Cathédrale Notre Dame de la garde";"Mesures effectuées sur le parking avant gauche de la cathédrale";"13006";"MARSEILLE 6E ARRONDISSEMENT";"26/07/2001";"En extérieur";"FicheMesure77.pdf";"Oui";"0,22";"Rue / Route / Parking";"SR Aix-Marseille";"";"0,3";"";"";"0,15";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,335";"";"-52,459"
"78";"5,564722";"43,293889";"43°17'38.000N 5°33'52.999E";"13005";"Avenue Antide Boyer";"ESPLANADE GENERAL DE GAULLE";"13400";"AUBAGNE";"26/07/2001";"En extérieur";"FicheMesure78.pdf";"Oui";"0";"Rue / Route / Parking";"SR Aix-Marseille";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,59";"";"";"";"";"";"";"";"";""
"79";"5,872222";"43,095556";"43°5'44.002N 5°52'19.999E";"83126";"Chemin Aimé Genoud- Lotissement Chartier";"au 265 (lotissement Chartier) prendre l 'impasse (passage étroit)";"83500";"SEYNE SUR MER";"05/06/2001";"En intérieur";"FicheMesure79.pdf";"Oui";"2,44";"Lieu d'habitation";"SR Aix-Marseille";"";"";"0,08";"";"";"";"";"";"";"";"";"";"";"";"1,74";"";"1,2";"";"";"";"";"";"";"0,08";"";"96,721"
