"Numéro de mesure";"Longitude";"Latitude";"Position";"Insee";"Adresse";"Complément";"Code postal";"Commune";"Date de mesure";"Mesure réalisée";"Rapport";"Conformité de la mesure";"Niveau global";"Type d'environnement";"laboratoire";"DECT (Téléphone domestique)";"Radiodiffusion sonore (FM – RNT)";"Services HF";"PMR (Réseaux radio mobile professionnels)";"PMR - balises";"Radars - balises - FH";"Radar - BLR (Wimax)- FH";"TV";"Réseaux locaux radioélectriques ou Wifi";"TM 700 (Téléphonie Mobile en 700 MHz)_mesuré";"TM 700 (Téléphonie Mobile en 700 MHz)_extrapolé";"TM 800_mesuré";"TM 800_extrapolé";"TM 900_mesuré";"TM 900_extrapolé";"TM 1800_mesuré";"TM 1800_extrapolé";"TM 2100_mesuré";"TM 2100_extrapolé";"TM 2600_mesuré";"TM 2600_extrapolé";"TM 3600_mesuré";"TM 3600_extrapolé";"Cumul_CasB";"Cumul_CasB_TM";"Ratio_Ecart_CasA_CasB_%"
"128";"-1,661944";"48,124722";"48°7'28.999N 1°39'42.998W";"35238";"Square du docteur Dayot";"immeuble de 10 étages";"35000";"RENNES";"08/08/2001";"En intérieur";"FicheMesure128.pdf";"Oui";"0";"Lieu d'habitation";"SR Donges";"";"";"0,11";"";"";"";"";"";"";"";"";"";"";"";"0,1";"";"";"";"";"";"";"";"";"0,11";"";""
"129";"0,192222";"47,989444";"47°59'21.998N 0°11'31.999E";"72181";"Avenue Lefeuvre";"sur le Pont de l'Huisne";"72000";"MANS";"31/07/2001";"En extérieur";"FicheMesure129.pdf";"Oui";"0,37";"Rue / Route / Parking";"SR Donges";"";"0,11";"0,09";"";"";"";"";"";"";"";"";"";"";"";"0,45";"";"";"";"";"";"";"";"";"0,142";"";"61,587"
"133";"-1,549444";"47,206111";"47°12'22.000N 1°32'57.998W";"44109";"Boulevard Gustave Roch";"Ecole publiquesous le préau de l'école";"44000";"NANTES";"18/07/2001";"En extérieur";"FicheMesure133.pdf";"Oui";"0,57";"Rue / Route / Parking";"SR Donges";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,32";"";"";"";"";"";"";"";"";"";"";""
"134";"-1,745";"47,135278";"47°8'7.001N 1°44'42.000W";"44133";"Rue de la Morinière";"Proximité de la Poste devant le parking";"44710";"PORT SAINT PERE";"02/08/2001";"En extérieur";"FicheMesure134.pdf";"Oui";"0,38";"Rue / Route / Parking";"SR Donges";"";"";"0,07";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,39";"";"";"";"";"";"";"0,07";"";"81,579"
"136";"-0,529722";"47,476389";"47°28'35.000N 0°31'46.999W";"49007";"Rue Edouard Branly";"";"49000";"ANGERS";"19/07/2001";"En extérieur";"FicheMesure136.pdf";"Oui";"0,35";"Rue / Route / Parking";"SR Donges";"";"";"";"";"0,3";"";"";"";"";"";"";"";"";"";"0,1";"";"";"";"";"";"";"";"";"0,3";"";"14,286"
"137";"-1,438333";"47,187222";"47°11'13.999N 1°26'17.999W";"44071";"Rue Jean Mermoz";"Mesures faites sur le parking face aux pylônes";"44115";"HAUTE GOULAINE";"17/07/2001";"En extérieur";"FicheMesure137.pdf";"Oui";"2,41";"Rue / Route / Parking";"SR Donges";"";"0,71";"";"2,12";"";"";"";"1,43";"";"";"";"";"";"";"0,25";"";"";"";"";"";"";"";"";"2,654";"";"-10,122"
"138";"-0,129444";"47,404167";"47°24'15.001N 0°7'45.998W";"49180";"Les Hupponières";"dans la cour,devant le domicile de Mr et Mme Réthoré POINT A NB : LES AXES PRIVILEGIES DES PANNEAUX SONT PERPENDICULAIRES A LA MAISON";"49160";"LONGUE JUMELLES";"24/07/2001";"En extérieur";"FicheMesure138.pdf";"Oui";"0";"Divers";"SR Donges";"";"";"0,07";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,07";"";""
"139";"-0,127778";"47,403056";"47°24'11.002N 0°7'40.001W";"49180";"Les Allards";"Point de mesure BDANS L'AXE DE L'UN DES 2 PANNEAUX A 200M AU SUD DU PYLONE";"49160";"LONGUE JUMELLES";"24/07/2001";"En extérieur";"FicheMesure139.pdf";"Oui";"0";"Rue / Route / Parking";"SR Donges";"";"";"0,1";"";"";"";"";"";"";"";"";"";"";"";"0,12";"";"";"";"";"";"";"";"";"0,1";"";""
"140";"-0,131389";"47,408889";"47°24'32.000N 0°7'53.000W";"49180";"Chemin de terre";"Dans le chemin de terre à 800m du pylône répertorié POINT C sur le plan de situationdans l'axe du panneau nord";"49160";"LONGUE JUMELLES";"24/07/2001";"En extérieur";"FicheMesure140.pdf";"Oui";"0";"Divers";"SR Donges";"";"";"0,09";"";"";"";"";"";"";"";"";"";"";"";"0,13";"";"";"";"";"";"";"";"";"0,09";"";""
"242";"-1,568889";"47,218056";"47°13'5.002N 1°34'8.000W";"44109";"Boulevard Guist'hau";"Appartement de Mme FAURE au 8ème et dernier étage d'un immeuble d'habitation";"44000";"NANTES";"05/02/2002";"En extérieur";"FicheMesure242.pdf";"Oui";"0,78";"Divers";"APAVE";"";"0,16";"";"";"";"";"";"0,65";"";"";"";"";"";"";"";"";"1,68";"";"";"";"";"";"";"0,669";"";"14,179"
