"Numéro de mesure";"Longitude";"Latitude";"Position";"Insee";"Adresse";"Complément";"Code postal";"Commune";"Date de mesure";"Mesure réalisée";"Rapport";"Conformité de la mesure";"Niveau global";"Type d'environnement";"laboratoire";"DECT (Téléphone domestique)";"Radiodiffusion sonore (FM – RNT)";"Services HF";"PMR (Réseaux radio mobile professionnels)";"PMR - balises";"Radars - balises - FH";"Radar - BLR (Wimax)- FH";"TV";"Réseaux locaux radioélectriques ou Wifi";"TM 700 (Téléphonie Mobile en 700 MHz)_mesuré";"TM 700 (Téléphonie Mobile en 700 MHz)_extrapolé";"TM 800_mesuré";"TM 800_extrapolé";"TM 900_mesuré";"TM 900_extrapolé";"TM 1800_mesuré";"TM 1800_extrapolé";"TM 2100_mesuré";"TM 2100_extrapolé";"TM 2600_mesuré";"TM 2600_extrapolé";"TM 3600_mesuré";"TM 3600_extrapolé";"Cumul_CasB";"Cumul_CasB_TM";"Ratio_Ecart_CasA_CasB_%"
"38";"6,216111";"49,101389";"49°6'5.000N 6°12'58.000E";"57463";"Rue Marconi";"Parking E.S.I.C.T face tour T.D.F. (derrière armoires électriques)";"57000";"METZ";"22/08/2001";"En extérieur";"FicheMesure38.pdf";"Oui";"0,65";"Rue / Route / Parking";"SR Nancy";"";"";"1,23";"";"";"";"";"";"";"";"";"";"";"";"0,17";"";"0,16";"";"";"";"";"";"";"1,23";"";"-89,231"
"39";"6,221111";"48,713889";"48°42'50.000N 6°13'16.000E";"54184";"Rue Beaupré";"Parkinjg terrain de tennis";"54270";"ESSEY LES NANCY";"21/08/2001";"En extérieur";"FicheMesure39.pdf";"Oui";"1,1";"Rue / Route / Parking";"SR Nancy";"";"";"0,59";"0,38";"";"";"";"0,78";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1,049238";"";"4,615"
"40";"7,788333";"48,602222";"48°36'7.999N 7°47'17.999E";"67482";"Quai St Thomas";"Domicile de Monsieur Fuhrer 4ème étage";"67000";"STRASBOURG";"20/08/2001";"En intérieur";"FicheMesure40.pdf";"Oui";"0,44";"Lieu d'habitation";"SR Nancy";"0,11";"";"0,13";"";"0,09";"";"";"";"";"";"";"";"";"";"0,26";"";"";"";"";"";"";"";"";"0,192614";"";"56,224"
"41";"7,788333";"48,602222";"48°36'7.999N 7°47'17.999E";"67482";"Rue Mélanie";"Hôpital de la Robertsausur parking du pavillon St François(accès par la rue David Richard)67000 STRASBOURG";"67000";"STRASBOURG";"29/08/2001";"En extérieur";"FicheMesure41.pdf";"Oui";"0,3";"Rue / Route / Parking";"SR Nancy";"";"0,09";"0,18";"";"";"";"";"";"";"";"";"";"";"";"0,72";"";"0,29";"";"";"";"";"";"";"0,201246";"";"32,918"
"42";"7,896111";"48,928889";"48°55'44.000N 7°53'46.000E";"67474";"Rue des Chênes";"Parking supermarché Maxi (proximité caisse carburant)";"67250";"SOULTZ SOUS FORETS";"29/08/2001";"En extérieur";"FicheMesure42.pdf";"Oui";"0,1";"Rue / Route / Parking";"SR Nancy";"";"";"0,15";"";"";"";"";"0,17";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,226716";"";"-126,716"
"44";"6,187222";"48,697778";"48°41'52.001N 6°11'13.999E";"54395";"Boulevard du 26 éme RI";"Parc de la Pépinièresur terrain de basket face centre auto sécurité54000 NANCY";"54000";"NANCY";"22/08/2001";"En extérieur";"FicheMesure44.pdf";"Oui";"0,31";"Divers";"SR Nancy";"";"0,14";"0,6";"";"";"";"";"0,09";"";"";"";"";"";"";"0,14";"";"";"";"";"";"";"";"";"0,622656";"";"-100,857"
"46";"6,456944";"48,185278";"48°11'7.001N 6°27'24.998E";"88160";"Rue Charles Perrault";"Petit parking à l'entrée du stade";"88000";"EPINAL";"22/08/2001";"En extérieur";"FicheMesure46.pdf";"Oui";"0,36";"Rue / Route / Parking";"SR Nancy";"";"0,15";"0,32";"";"";"";"";"";"";"";"";"";"";"";"0,12";"";"";"";"";"";"";"";"";"0,353412";"";"1,83"
"47";"6,160556";"48,653056";"48°39'11.002N 6°9'38.002E";"54547";"Rue du Vivarais";"sur trottoir face résidence les océanes";"54500";"VANDOEUVRE LES NANCY";"21/08/2001";"En extérieur";"FicheMesure47.pdf";"Oui";"0,8";"Rue / Route / Parking";"SR Nancy";"";"";"0,83";"";"0,15";"";"";"0,29";"";"";"";"";"";"";"0,34";"";"0,49";"";"";"";"";"";"";"0,891908";"";"-11,489"
"48";"6,053056";"49,364722";"49°21'52.999N 6°3'11.002E";"57012";"Rue du Maréchal Leclerc";"Paking hôpital Alpha Santé (en haut des escaliers)";"57440";"ALGRANGE";"22/08/2001";"En extérieur";"FicheMesure48.pdf";"Oui";"0,8";"Rue / Route / Parking";"SR Nancy";"";"";"1,15";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1,15";"";"-43,75"
"49";"6,455";"48,183056";"48°10'59.002N 6°27'18.000E";"88160";"Place d'Avrinsart";"Parvis église Saint Paul";"88000";"EPINAL";"22/08/2001";"En extérieur";"FicheMesure49.pdf";"Oui";"0,03";"Rue / Route / Parking";"SR Nancy";"";"0,07";"0,37";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,376563";"";"-1155,211"
