"Numéro de mesure";"Longitude";"Latitude";"Position";"Insee";"Adresse";"Complément";"Code postal";"Commune";"Date de mesure";"Mesure réalisée";"Rapport";"Conformité de la mesure";"Niveau global";"Type d'environnement";"laboratoire";"DECT (Téléphone domestique)";"Radiodiffusion sonore (FM – RNT)";"Services HF";"PMR (Réseaux radio mobile professionnels)";"PMR - balises";"Radars - balises - FH";"Radar - BLR (Wimax)- FH";"TV";"Réseaux locaux radioélectriques ou Wifi";"TM 700 (Téléphonie Mobile en 700 MHz)_mesuré";"TM 700 (Téléphonie Mobile en 700 MHz)_extrapolé";"TM 800_mesuré";"TM 800_extrapolé";"TM 900_mesuré";"TM 900_extrapolé";"TM 1800_mesuré";"TM 1800_extrapolé";"TM 2100_mesuré";"TM 2100_extrapolé";"TM 2600_mesuré";"TM 2600_extrapolé";"TM 3600_mesuré";"TM 3600_extrapolé";"Cumul_CasB";"Cumul_CasB_TM";"Ratio_Ecart_CasA_CasB_%";"CV_services_CasB"
"14";"1,920833";"46,937778";"46°56'16.001N 1°55'14.999E";"36179";"Carrefour D130 et D8";"";"36100";"SAINT AOUSTRILLE";"05/04/2001";"En extérieur";"FicheMesure14.pdf";"Oui";"0,72";"Rue / Route / Parking";"SR Villejuif";"";"";"0,58";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,58";"";"19,444";"0"
"15";"1,924444";"46,934167";"46°56'3.001N 1°55'27.998E";"36179";"Sud du cimetière";"";"36100";"SAINT AOUSTRILLE";"05/04/2001";"En extérieur";"FicheMesure15.pdf";"Oui";"0,82";"Divers";"SR Villejuif";"";"";"0,45";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,45";"";"45,122";"0"
"129";"0,192222";"47,989444";"47°59'21.998N 0°11'31.999E";"72181";"Avenue Lefeuvre";"sur le Pont de l'Huisne";"72000";"MANS";"31/07/2001";"En extérieur";"FicheMesure129.pdf";"Oui";"0,37";"Rue / Route / Parking";"SR Donges";"";"0,11";"0,09";"";"";"";"";"";"";"";"";"";"";"";"0,45";"";"";"";"";"";"";"";"";"0,471911";"0,45";"-27,544";"0,762431"
"135";"0,426944";"46,621111";"46°37'16.000N 0°25'36.998E";"86163";"Rue du Clos";"Ecole maternelle";"86360";"MONTAMISE";"01/08/2001";"En extérieur";"FicheMesure135.pdf";"Oui";"0,4";"Rue / Route / Parking";"SR Donges";"";"";"0,1";"";"";"";"";"";"";"";"";"";"";"";"0,08";"";"0,34";"";"";"";"";"";"";"0,363318";"0,349285";"9,17";"0,68154"
"136";"-0,529722";"47,476389";"47°28'35.000N 0°31'46.999W";"49007";"Rue Edouard Branly";"";"49000";"ANGERS";"19/07/2001";"En extérieur";"FicheMesure136.pdf";"Oui";"0,35";"Rue / Route / Parking";"SR Donges";"";"";"";"";"0,3";"";"";"";"";"";"";"";"";"";"0,1";"";"";"";"";"";"";"";"";"0,316228";"0,1";"9,649";"0,5"
"138";"-0,129444";"47,404167";"47°24'15.001N 0°7'45.998W";"49180";"Les Hupponières";"dans la cour,devant le domicile de Mr et Mme Réthoré POINT A NB : LES AXES PRIVILEGIES DES PANNEAUX SONT PERPENDICULAIRES A LA MAISON";"49160";"LONGUE JUMELLES";"24/07/2001";"En extérieur";"FicheMesure138.pdf";"Oui";"0";"Divers";"SR Donges";"";"";"0,07";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,07";"";"";"0"
"139";"-0,127778";"47,403056";"47°24'11.002N 0°7'40.001W";"49180";"Les Allards";"Point de mesure BDANS L'AXE DE L'UN DES 2 PANNEAUX A 200M AU SUD DU PYLONE";"49160";"LONGUE JUMELLES";"24/07/2001";"En extérieur";"FicheMesure139.pdf";"Oui";"0";"Rue / Route / Parking";"SR Donges";"";"";"0,1";"";"";"";"";"";"";"";"";"";"";"";"0,12";"";"";"";"";"";"";"";"";"0,156205";"0,12";"";"0,090909"
"140";"-0,131389";"47,408889";"47°24'32.000N 0°7'53.000W";"49180";"Chemin de terre";"Dans le chemin de terre à 800m du pylône répertorié POINT C sur le plan de situationdans l'axe du panneau nord";"49160";"LONGUE JUMELLES";"24/07/2001";"En extérieur";"FicheMesure140.pdf";"Oui";"0";"Divers";"SR Donges";"";"";"0,09";"";"";"";"";"";"";"";"";"";"";"";"0,13";"";"";"";"";"";"";"";"";"0,158114";"0,13";"";"0,181818"
"181";"3,318333";"46,561111";"46°33'40.000N 3°19'5.999E";"03190";"Avenue de la Libération";"Le bernage";"03000";"MOULINS";"20/12/2001";"En extérieur";"FicheMesure181.pdf";"Oui";"0,9";"Divers";"APAVE";"";"0,11";"0,1";"";"";"";"";"";"";"";"";"";"";"";"1,27";"";"0,09";"";"";"";"";"";"";"1,281835";"1,273185";"-42,426";"1,29089"
"182";"3,331111";"46,575833";"46°34'32.999N 3°19'52.000E";"03190";"Avenue du Général de Gaulle";"Les Gâteaux Batiment A1";"03000";"MOULINS";"20/12/2001";"En extérieur";"FicheMesure182.pdf";"Oui";"6,1";"Divers";"APAVE";"";"0,06";"0,07";"";"";"";"";"";"";"";"";"";"";"";"0,25";"";"6,51";"";"";"";"";"";"";"6,515451";"6,514799";"-6,811";"1,605282"
"183";"3,337778";"46,542778";"46°32'34.001N 3°20'16.001E";"03190";"Avenue Professeur Etienne Sorel";"Foyer des Jeunes Travailleur plus";"03000";"MOULINS";"19/12/2001";"En extérieur";"FicheMesure183.pdf";"Oui";"2,8";"Divers";"APAVE";"";"0,08";"0,08";"";"";"";"";"0,07";"";"";"";"";"";"";"1,41";"";"3,35";"";"";"";"";"";"";"3,637073";"3,634639";"-29,895";"1,286963"
"221";"3,333889";"46,573333";"46°34'23.999N 3°20'2.000E";"03190";"Route de Decize";"Les Chartreux batiment G";"03000";"MOULINS";"19/12/2001";"En extérieur";"FicheMesure221.pdf";"Oui";"0,56";"Divers";"APAVE";"";"0,09";"0,08";"";"";"";"";"";"";"";"";"";"";"";"0,33";"";"0,22";"";"";"";"";"";"";"0,414488";"0,396611";"25,984";"0,570629"
"485";"0,205833";"48,0125";"48°0'45.000N 0°12'20.999E";"72181";"Rue Maurice Loutreuil";"Appartement de Mme BOUHOURS - 7ème étage";"72000";"MANS";"08/04/2002";"En intérieur";"FicheMesure485.pdf";"Oui";"0,49";"Lieu d'habitation";"APAVE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,22";"";"";"";"";"";"";"";"";"0,22";"0,22";"55,102";"0"
"486";"0,205833";"48,012222";"48°0'43.999N 0°12'20.999E";"72181";"Rue Maurice Loutreuil";"Terrasse de l'immeuble";"72000";"MANS";"08/04/2002";"En extérieur";"FicheMesure486.pdf";"Oui";"0,88";"Divers";"APAVE";"";"0,2";"";"";"";"";"";"0,3";"";"";"";"";"";"";"0,44";"";"1,1";"";"";"";"";"";"";"1,238386";"1,184736";"-40,726";"0,688512"
"497";"1,706667";"46,830833";"46°49'50.999N 1°42'24.001E";"36063";"Avenue du Général de Gaulle";"Stade Jean Bizet - stade de football";"36130";"DEOLS";"23/04/2002";"En extérieur";"FicheMesure497.pdf";"Oui";"0,43";"Divers";"APAVE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,63";"";"";"";"";"";"";"";"";"0,63";"0,63";"-46,512";"0"
